gold_canonical_key,domain_gold_df_fit,max_domain_gold_df_fit,fit_record_count
'-거든',1,18,748
'you' 서사,1,18,748
'이다',1,18,748
(보)조동사,1,18,748
(준)단일어,1,18,748
(준)파생어,1,18,748
-고져,1,18,748
-는데,1,18,748
-어 버리다,1,18,748
-었-,1,18,748
-었느-,1,18,748
-었는,1,18,748
-으러,1,18,748
-으려고,1,18,748
-을걸,1,18,748
0차원,1,18,748
16자문과 세조악보,1,18,748
18세기,1,18,748
1980년대,1,18,748
1박2일,1,18,748
1인가구,1,18,748
1차성,2,18,748
20세기초,1,18,748
2d 핸드메이드 애니메이션,1,18,748
2인칭 서사,1,18,748
2인칭 소설,1,18,748
2차성,2,18,748
32상호와 세종악보,1,18,748
3차성,2,18,748
4차 산업혁명,1,18,748
<(만문)금병매>,1,18,748
<(만문)삼국지>,1,18,748
<ebs 세계테마기행 중국 명대 운하길을 가다>,1,18,748
<구미호뎐>,1,18,748
<국화 옆에서>,1,18,748
<규한록>,1,18,748
<도깨비>,1,18,748
<라이프 오브 파이>,1,18,748
<리그 오브 레전드>,1,18,748
<만문노당>,1,18,748
<명대의 운하길을 걷다-항주에서 북경 2500km 최부의 ‘표해록’ 답사기>,1,18,748
<빅 피쉬>,1,18,748
<임천별곡>,1,18,748
<정이>,1,18,748
<택번요재지이>,1,18,748
<폭싹 속았수다>,1,18,748
<호랑이와 곶감>,1,18,748
<히어로는 아닙니다만>,1,18,748
[±공시성],1,18,748
[물결 21] 코퍼스,1,18,748
a. j. 그레마스,1,18,748
ai 기반 번역,1,18,748
ai 튜터,1,18,748
deco 사전,1,18,748
efl 학습자,2,18,748
efl환경,1,18,748
f-워드 분류,1,18,748
f-워드의 화용론적 기능,1,18,748
façon과 manière,1,18,748
feel the rhythm of korea 전주편 시즌 1·2,1,18,748
k-컬처,1,18,748
ksl 학습자,1,18,748
ksl학습자,1,18,748
l1 성조 기반 피드백,1,18,748
mbti 성격 유형,1,18,748
n-그램,1,18,748
