rank,start_pos,end_pos,support_in_full_development_gold,frozen_allowed
1,NNG,NNG,2002,True
2,NNP,NNP,311,True
3,NNG,XSN,244,True
4,NNP,NNG,186,True
5,SSO,SSC,43,True
6,XPN,NNG,40,True
7,NNG,NNP,21,True
8,NNG,SSC,16,True
9,XR,XSN,15,True
10,SL,NNG,13,True
11,NNP,XSN,11,True
12,XPN,XSN,11,True
13,SSO,NNG,9,True
14,NNG,SL,5,True
15,VV,NNG,5,True
16,XR,NNG,5,True
17,MAG,NNG,4,True
18,MM,NNG,4,True
19,NNG,ETN,4,True
20,SN,NNG,4,True
21,SO,EF,4,True
22,MAG,MAG,3,True
23,NNG,SW,3,True
24,NNP,SSC,3,True
25,SN,XSN,3,True
26,VV,ETN,3,True
27,VX,EF,3,True
28,IC,NNG,2,True
29,IC,NNP,2,True
30,NNB,NNG,2,True
31,NNG,EC,2,True
32,NNP,SN,2,True
33,VA,ETN,2,True
34,VA,NNG,2,True
35,VV,VV,2,True
36,VV-I,NNG,2,True
37,XPN,SSC,2,True
38,IC,IC,1,True
39,MAG,SSC,1,True
40,MM,XSN,1,True
41,NNB,NNB,1,True
42,NNG,JX,1,True
43,NNG,NNB,1,True
44,NNG,NR,1,True
45,NNG,XR,1,True
46,NNP,JX,1,True
47,NNP,NNB,1,True
48,NNP,SO,1,True
49,NP,NNG,1,True
50,NP,XSN,1,True
51,SL,NNP,1,True
52,SL,SL,1,True
53,SL,SN,1,True
54,SN,NNB,1,True
55,SO,EC,1,True
56,SO,NNG,1,True
57,VA,EF,1,True
58,VA,XSN,1,True
59,VA-I,NNG,1,True
60,VV,NNP,1,True
61,VV,XSN,1,True
62,VV-R,NNG,1,True
63,XR,XR,1,True
64,XSN,XSN,1,True
