resource_type,resource_key,support_fit,max_support_fit,prior_value,fit_record_count
pos_category,nominal_only,3921,3921,1.0,748
pos_category,extended_grammar,321,3921,0.08186687069625095,748
pos_category,nominal_relational,144,3921,0.036725325172149964,748
pos_category,nominal_relational_punct,133,3921,0.033919918388166284,748
length_bin,1,1229,1796,0.6842984409799554,748
length_bin,2,1796,1796,1.0,748
length_bin,3,909,1796,0.5061247216035635,748
length_bin,4,374,1796,0.20824053452115812,748
length_bin,5,121,1796,0.06737193763919821,748
length_bin,6,38,1796,0.021158129175946547,748
length_bin,7,23,1796,0.012806236080178173,748
length_bin,8,13,1796,0.007238307349665924,748
length_bin,9,4,1796,0.0022271714922048997,748
length_bin,10,5,1796,0.0027839643652561247,748
length_bin,11,2,1796,0.0011135857461024498,748
length_bin,12,5,1796,0.0027839643652561247,748
